"","morph.id","PC1","PC2","PC3","PC4","id","distance","entropy","moran","slope"
"1",0,0.356838144473967,0.979606024063755,0.0447974978989718,-0.00407766946116841,0,0.0230865627927784,0.400011417514737,0.917019194871063,0.295835325230368
"2",1,1.17923809062937,0.499438638533411,-0.0507803790290214,0.0962050818784511,1,0.812065354876093,0.720681993475977,0.50354034433261,0.468497532590868
"3",2,0.483053619046592,0.283234154358054,-0.0243300767340898,0.0179763716692803,2,0.299472072795359,0.325716181689984,0.271022049479827,0.212720433757347
"4",3,1.50974121489191,0.397095592317081,-0.252847744894206,0.00170589745276271,3,0.997540439601632,0.954421822123263,0.33351339620852,0.695484873256707
"5",4,0.488292854791287,0.509541824649679,-0.253425727362772,0.0072980893969221,4,0.192482781640605,0.35627735485137,0.405672399813439,0.483515639589204
"6",5,0.671227914877368,0.187648079738625,-0.298441483206358,0.0718169118097885,5,0.442871237099107,0.35365425312753,0.122014482517685,0.493852109352158
"7",6,0.451516480083582,0.0735903844173948,-0.178131712892412,0.100875379961401,6,0.345471660788163,0.18990791297209,0.055398262420385,0.304474587756951
"8",7,1.37755987126336,0.196255196432139,-0.0289920020997295,-0.00402320607870721,7,0.990914583419431,0.864324060623812,0.212033013200216,0.403878981034333
"9",8,0.706116207342137,0.457588314699931,-0.300325672810157,0.043755874477833,8,0.383003841659794,0.445169618249739,0.361007963261961,0.570002253542941
"10",9,1.27807965673117,0.246536323335813,0.00613876068589747,0.0505807621113096,9,0.93942451488071,0.774846328170304,0.28046615586543,0.367827880303737
"11",10,1.43011837744718,0.341483253571522,-0.0870843507374159,0.014315354326894,10,0.991640645816504,0.902588932295184,0.333710878458915,0.510153994354501
"12",11,0.836197994387087,0.200896668113988,-0.249468576157407,0.0744465106909085,11,0.576471659607628,0.457922126008654,0.154706235542162,0.491342185636097
"13",12,0.478041215103082,0.0897285983873001,-0.243284499996601,0.105983051455144,12,0.351253557600306,0.198601772756289,0.0527348236810236,0.376020866897889
"14",13,1.31087249802636,0.16078662279818,-0.0766140822160885,0.0304848133856381,13,0.959002786178549,0.786570006105384,0.17279733537295,0.427551690534428
"15",14,0.387538562199247,0.793448953433389,-0.12053842804835,-0.00807247541869236,14,0.0596752707615831,0.371885034214725,0.697276893260298,0.407783489003251
"16",15,0.526386031046583,0.238194278151517,-0.338361540646498,0.0473044314141553,15,0.297590004597899,0.290846160142949,0.144820654427639,0.506379983401654
"17",16,0.825970667653275,0.629637476749779,-0.100088653986872,0.0771811800016493,16,0.488274672480422,0.541881920264661,0.591206433925866,0.461597606518771
"18",17,0.419407391647965,0.742180298000869,-0.130894676942515,0.00171078214962121,17,0.100724253098296,0.373185375459884,0.651087421169108,0.412968483680139
"19",18,0.739394317517982,0.249129049426266,-0.297400277585789,0.0639357136333708,18,0.474610274288459,0.411999929180318,0.178351861020547,0.523923372448285
"20",19,0.656058939982416,0.210042928032185,-0.236935233159384,0.0613134223808942,19,0.431951645118548,0.36260733036068,0.15759061768974,0.437639009102002
"21",20,1.5274922945286,0.746686963511685,-0.194552570121312,0.104600530260811,20,0.988858987359045,0.954754510868001,0.698927805914191,0.749444963963744
"22",21,0.343390632086268,1.02395926090473,0.107026315350364,-0.0041235612466717,21,0.0137199517735378,0.405983923089639,0.975784925933992,0.246401959342994
"23",22,1.29029650273861,0.374893891476748,0.100657792090754,0.0703520708584785,22,0.945219548715057,0.799307689299795,0.431853975849492,0.318843638677095
"24",23,1.15319425049811,0.586741374223318,0.0433998793914185,0.110037389508412,23,0.796030032986856,0.719230431748998,0.614546668311093,0.399362443558738
"25",24,1.50998785766432,0.795326679744985,-0.107646143241951,0.118420377880359,24,0.987957996484297,0.950724944924559,0.77273922921646,0.679083276020653
"26",25,1.57496530298938,0.509692928855412,-0.401875560418865,0.0222915161475021,25,0.999443756034782,0.983923227282298,0.399057246880314,0.880944969989349
"27",26,1.3648910449716,0.0796947048417931,-0.0322253285988078,-0.0304446009294638,26,0.996307924091008,0.855618078393704,0.0970447949122331,0.370290005606856
"28",27,1.60011494531268,0.969003934991954,-0.290075982546748,0.156400298195083,27,0.995894094545526,0.989666940136142,0.889518773700779,0.919484771191794
"29",28,1.52800406127323,0.29987069384488,-0.348686988578634,-0.0302975448522424,28,0.99977630023979,0.963263708588152,0.207694946822814,0.759376446686823
"30",29,0.6596893524498,0.116365199089407,-0.257622550612588,0.0997709303294075,29,0.476444458694299,0.316090567907295,0.0766492142121095,0.43848243640754
"31",30,0.315521868187179,0.768963595379905,-0.116952658616454,-0.0293996742192925,30,0,0.340943441066575,0.667889845946972,0.378261879126337
"32",31,0.72395384987526,0.814863075184209,-0.0673871512923634,0.0685647130353263,31,0.363919930889232,0.523982550049355,0.764454392284895,0.45383610405352
"33",32,0.420447428589913,0.866575932842499,0.0122481914600087,0.00563193534758397,32,0.0999581586780438,0.407104985904554,0.808777608091571,0.313152202761761
"34",33,1.38618413047643,0.223050805805107,0.0141430775291416,-0.013693013842833,33,0.993763608130188,0.885979412450075,0.247061569641528,0.371591958338779
"35",34,0.497027236915745,0.193682321615362,-0.338908776096882,0.0621706346982408,34,0.294998408083728,0.253572923792871,0.107247479115085,0.490354924567242
"36",35,0.448649178894404,0.269410242270635,-0.31078516683607,0.0292021855076201,35,0.225627030285241,0.266395313988806,0.174179408708657,0.468076559334114
"37",36,0.253851072598622,-0.0470590898253903,-0.0492637956557066,0.180493947369835,36,0.296486886830546,0,0,0.117283577417079
"38",37,1.59470529190614,0.635605898875844,-0.409949992280286,0.0567814533322614,37,0.999226770542662,0.991266640735444,0.521620120178214,0.930167573372441
"39",38,1.48029102355192,0.491560118769092,-0.143051342270489,0.0383196498930406,38,0.992865528913992,0.936129074316874,0.461942609845693,0.615885029683219
"40",39,0.539389668992388,0.513775440994443,-0.266592498956057,0.0148736257058577,39,0.231910742680597,0.380660067489118,0.409251600105562,0.509929065935231
"41",40,1.25342807193299,-0.0382071433272305,0.128577965768791,0.00247618180613691,40,0.992713002686191,0.757162196116403,0.0435513559535841,0.16855184523767
"42",41,0.900459383095505,-0.0609067945571259,0.0351938925730972,0.140593329998122,41,0.787764266333609,0.425197204313236,0.0218976474721482,0.183567763808448
"43",42,1.44412644346358,0.957015774547982,0.0239286949258863,0.176101723966431,42,0.954087674405398,0.908572706146173,0.973733309610822,0.59077962559444
"44",43,0.284655900037138,0.155567649958533,-0.293332935491485,0.0583721682154194,43,0.15007163505893,0.126247968396034,0.0785489600110489,0.387365217738494
"45",44,0.718220360406608,1.02233785481547,0.0706904158413394,0.0862790399700471,44,0.342975664306738,0.557789231760722,1,0.380388288129908
"46",45,1.61955011411066,0.726533573971681,-0.45011113935439,0.0812312899919877,45,1,1,0.599993472021631,1
"47",46,1.00074116034941,-0.145559211150205,0.233856145995008,0.130984624629265,46,0.920817761669567,0.496574208165262,0.00497277145648726,0
"48",47,1.35916105486344,0.0954251555996503,0.0279346751750339,-0.0368795437986358,47,0.996320282987886,0.865765328261351,0.127554187485336,0.316372248386394
"49",48,1.38483483103268,0.211945958890198,-0.00590597909425511,-0.0112669849606954,48,0.992961950992626,0.879355511060293,0.231522820982507,0.387308735614724
"50",49,1.45714543251172,0.263805246267632,-0.178116463167242,-0.0173977461512614,49,0.996582748977593,0.920489099351915,0.227522753553587,0.576758367516599
